ID	SENTENCE	ENTITY_1	ENTITY_1_NAME	ENTITY_1_POS1	ENTITY_1_POS2	ENTITY_2	ENTITY_2_NAME	ENTITY_2_POS1	ENTITY_2_POS2	LABEL
a227508.s1	In unanesthetized, spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine, 5 to 20 micrograms/kg, was inhibited or reversed by nalozone, 0.2 to 2 mg/kg.	D003000	clonidine	121	130	D006973	hypertensive	33	45	false
a227508.s1	In unanesthetized, spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine, 5 to 20 micrograms/kg, was inhibited or reversed by nalozone, 0.2 to 2 mg/kg.	-1	nalozone	184	192	D006973	hypertensive	33	45	false
a227508.s2	The hypotensive effect of 100 mg/kg alpha-methyldopa was also partially reversed by naloxone.	D008750	alpha-methyldopa	36	52	D007022	hypotensive	4	15	true
a227508.s2	The hypotensive effect of 100 mg/kg alpha-methyldopa was also partially reversed by naloxone.	D009270	naloxone	84	92	D007022	hypotensive	4	15	false
a227508.s4	In brain membranes from spontaneously hypertensive rats clonidine, 10(-8) to 10(-5)	D003000	clonidine	56	65	D006973	hypertensive	38	50	false
a354896.s0	Lidocaine-induced cardiac asystole.	D008012	Lidocaine	0	9	D006323	cardiac asystole	18	34	true
a354896.s1	Intravenous administration of a single 50-mg bolus of lidocaine in a 67-year-old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers.	D008012	lidocaine	54	63	D003866	depression	106	116	false
a354896.s2	The patient had no apparent associated conditions which might have predisposed him to the development of bradyarrhythmias; and, thus, this probably represented a true idiosyncrasy to lidocaine.	D008012	lidocaine	183	192	D001919	bradyarrhythmias	105	121	false
a603022.s1	Galanthamine hydrobromide, an anticholinesterase drug capable of penetrating the blood-brain barrier, was used in a patient demonstrating central effects of scopolamine (hyoscine) overdosage.	D005702	Galanthamine hydrobromide	0	25	D062787	overdosage	180	190	false
a603022.s1	Galanthamine hydrobromide, an anticholinesterase drug capable of penetrating the blood-brain barrier, was used in a patient demonstrating central effects of scopolamine (hyoscine) overdosage.	D012601	hyoscine	170	178	D062787	overdosage	180	190	true
a1378968.s0	Effects of uninephrectomy and high protein feeding on lithium-induced chronic renal failure in rats.	D008094	lithium	54	61	D007676	chronic renal failure	70	91	true
a1378968.s1	Rats with lithium-induced nephropathy were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of renal failure.	D008094	lithium	10	17	D007674	nephropathy	26	37	false
a1378968.s1	Rats with lithium-induced nephropathy were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of renal failure.	D008094	lithium	10	17	D051437	renal failure	208	221	false
a1378968.s6	Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis.	D008094	Lithium	0	7	D011507	proteinuria	20	31	true
